Room Code,Room Name,Zone,PPE,Capacity,Description
PTCF-1-ASEP-01-RA,Inoculation Room 1,Red,"Sterile gown, mask, gloves, hair cover",8,A controlled aseptic workspace used for plant tissue culture inoculation and transfer procedures. It is currently utilized by the Macapuno Laboratory and also supports teaching activities for courses such as AGRI 132 and AGRI 133 under supervised conditions.
PTCF-1-ASEP-02-RA,Inoculation Room 2,Red,"Sterile gown, mask, gloves, hair cover",8,"A dedicated aseptic room for inoculation activities of PTCF core and funded projects, including coconut, bamboo, calamansi, and banana. It supports multiple research workflows while maintaining strict contamination control."
PTCF-1-GR-01-RA,Growth Room 1,Red,"Lab coat, gloves",5,A controlled environment room used for the incubation of cultures derived from Inoculation Room 1. It maintains regulated conditions to support optimal growth of macapuno and related plant cultures.
PTCF-1-GR-02-RA,Growth Room 2,Red,"Lab coat, gloves",5,A growth room supporting cultures from Inoculation Room 2 for various PTCF projects. It ensures proper environmental control and organized culture management across multiple crop systems.
PTCF-2-BSL2-01-RA,BSL-2 Laboratory,Red,"Lab gown, gloves, mask",5,A restricted laboratory designed for handling moderate-risk biological agents. It operates under strict biosafety protocols with controlled access and specialized equipment.
PTCF-1-STR-01-RA,Sterilization Area,Red,"Lab coat, heat gloves",3,"A facility space equipped with sterilization equipment such as autoclaves for treating media, tools, and glassware. It ensures all materials are properly sterilized prior to laboratory use."
PTCF-A-DEC-01-RA,Decontamination Area,Red,"Lab coat, gloves, mask",3,A designated area for handling and treating contaminated materials and biological waste. It ensures safe disposal through autoclaving and chemical disinfection.
PTCF-2-TLAB-01-CA,Teaching Laboratory,Yellow,"Lab coat, closed shoes",15,An instructional laboratory used for hands-on student training in plant tissue culture and related techniques. Activities are conducted under supervision with proper safety protocols.
PTCF-1-MED-01-CA,Media Preparation Room, Yellow,"Lab coat, gloves",15,"A controlled laboratory space for preparing and dispensing culture media and reagents. It supports PTCF classes and research projects, ensuring standardized and reproducible media preparation."
PTCF-2-RR-01-LA,Reading Room,Blue,None,10,A quiet study area for students and staff to conduct reading and academic work. It supports individual learning in a low-disturbance environment.
PTCF-2-CONF-01-OA,Conference Room,Grey,None,25,"A meeting space used for discussions, seminars, workshops, and project meetings. It supports collaboration, planning, and knowledge-sharing activities."
PTCF-2-LR-01-OA,Lecture Room 1,Grey,None,30,"An instructional space used for delivering conceptual and foundational components of PTCF courses. It also accommodates seminars, workshops, and academic discussions."
PTCF-2-LR-02-OA,Lecture Room 2,Grey,None,30,"A secondary lecture room supporting parallel classes and instructional activities. It provides flexibility for teaching, meetings, and academic events."
